[82124:56012:0104/130006.212:WARNING:chrome_command_line_pref_store.cc(119)] Additional command-line proxy switches specified when --no-proxy-server was also specified.
[82124:56012:0104/130006.220:WARNING:chrome_command_line_pref_store.cc(119)] Additional command-line proxy switches specified when --no-proxy-server was also specified.
[82124:56012:0104/130006.349:WARNING:chrome_command_line_pref_store.cc(119)] Additional command-line proxy switches specified when --no-proxy-server was also specified.
[82124:56012:0104/130006.913:WARNING:CONSOLE(0)] "HTML Imports is deprecated and will be removed in M73, around March 2019. Please use ES modules instead. See https://www.chromestatus.com/features/5144752345317376 for more details.", source:  (0)
[82124:56012:0104/130006.929:WARNING:CONSOLE(77)] "document.registerElement is deprecated and will be removed in M73, around March 2019. Please use window.customElements.define instead. See https://www.chromestatus.com/features/4642138092470272 for more details.", source: https://ssl.gstatic.com/chrome/components/doodle-notifier-02.html (77)
[82124:56012:0104/130015.476:INFO:CONSOLE(255)] "publisher core wiring started", source: https://incapsulate311-sat-dev-ed.my.salesforce.com/jslibrary/1539646802000/sfdc/Chatter.js (255)
[82124:56012:0104/130015.488:INFO:CONSOLE(255)] "publisher core wiring finished in 10ms", source: https://incapsulate311-sat-dev-ed.my.salesforce.com/jslibrary/1539646802000/sfdc/Chatter.js (255)
[82124:56012:0104/130016.113:INFO:CONSOLE(255)] "CEB EVENT! ns<chatter:publisher> en<onAfterFeedLoad> pld<[object Object]> exec-time<0>", source: https://incapsulate311-sat-dev-ed.my.salesforce.com/jslibrary/1539646802000/sfdc/Chatter.js (255)
[82124:56012:0104/130238.296:INFO:CONSOLE(1279)] "Synchronous XMLHttpRequest on the main thread is deprecated because of its detrimental effects to the end user's experience. For more help, check https://xhr.spec.whatwg.org/.", source: https://incapsulate311-sat-dev-ed.my.salesforce.com/jslibrary/1543986924000/sfdc/main.js (1279)
[82124:56012:0104/130721.097:INFO:CONSOLE(0)] "Slow network is detected. See https://www.chromestatus.com/feature/5636954674692096 for more details. Fallback font will be used while loading: https://incapsulate311-sat-dev-ed.my.salesforce.com/login/assets/fonts/SalesforceSans/SalesforceSans-Regular.woff2", source: https://incapsulate311-sat-dev-ed.my.salesforce.com/ (0)
[82124:56012:0104/130721.098:INFO:CONSOLE(0)] "Slow network is detected. See https://www.chromestatus.com/feature/5636954674692096 for more details. Fallback font will be used while loading: https://incapsulate311-sat-dev-ed.my.salesforce.com/login/assets/fonts/SalesforceSans/SalesforceSans-Light.woff2", source: https://incapsulate311-sat-dev-ed.my.salesforce.com/ (0)
[82124:56012:0104/130721.501:INFO:CONSOLE(1596)] "Slow network is detected. See https://www.chromestatus.com/feature/5636954674692096 for more details. Fallback font will be used while loading: https://c1.sfdcstatic.com/etc/clientlibs/sfdc-aem-master/clientlibs_base/fonts/SalesforceSans-Regular.woff", source: https://c1.sfdcstatic.com/etc/clientlibs/granite/jquery.min.a1b61eccd1f2b58b4221afee4dd310e6.js (1596)
[82124:56012:0104/130721.502:INFO:CONSOLE(1596)] "Slow network is detected. See https://www.chromestatus.com/feature/5636954674692096 for more details. Fallback font will be used while loading: https://c1.sfdcstatic.com/etc/clientlibs/sfdc-aem-master/clientlibs_base/fonts/SalesforceSans-Bold.woff", source: https://c1.sfdcstatic.com/etc/clientlibs/granite/jquery.min.a1b61eccd1f2b58b4221afee4dd310e6.js (1596)
[82124:56012:0104/130721.503:INFO:CONSOLE(1596)] "Slow network is detected. See https://www.chromestatus.com/feature/5636954674692096 for more details. Fallback font will be used while loading: https://c1.sfdcstatic.com/etc/clientlibs/sfdc-aem-master/clientlibs_base/fonts/SalesforceSans-Light.woff", source: https://c1.sfdcstatic.com/etc/clientlibs/granite/jquery.min.a1b61eccd1f2b58b4221afee4dd310e6.js (1596)
